Category,Question,Weight
Definition,What is computer science?,1
Definition,What is an algorithm?,1
Definition,"Difference among information, data, and representation",1
Definition,What is software?,1
Definition,What is software engineering?,1
History,What were software crises?,1
Commonsense,What makes software development costs rise?,1
Commonsense,What may delay software development?,1
Commonsense,Why could software miss requirements?,1
Commonsense,Why may software be inefficient?,1
Commonsense,What does it mean for software to be of low-quality?,1
Commonsense,What makes code (un)manageable or (un)maintainable?,1
Definition,What are the main SE phases?,2
Definition,"In the context of SE phases, what is the ""Use case collection"" phase about?",1
Definition,"In the context of SE phases, what is the ""Requirements analysis"" phase about?",1
Definition,"In the context of SE phases, what is the ""Design"" phase about?",1
Definition,"In the context of SE phases, what is the ""Implementation"" phase about?",1
Definition,"In the context of SE phases, what is the ""Verification"" phase about?",1
Definition,"In the context of SE phases, what is the ""Release"" phase about?",1
Definition,"In the context of SE phases, what is the ""Deployment"" phase about?",1
Definition,"In the context of SE phases, what is the ""Documentation"" phase about?",1
Definition,"In the context of SE phases, what is the ""Maintenance"" phase about?",1
Definition,What are the main SE Lifecycle Models?,2
Definition,"In the context of SE Lifecycle, what is the Waterfall Model?",1
Definition,"In the context of SE Lifecycle, what is the V-Model?",1
Definition,"In the context of SE Lifecycle, what is the Incremental Model?",1
Definition,"In the context of SE Lifecycle, what is the Iterative Model?",1
Definition,"In the context of SE Lifecycle, what is the Spiral Model?",1
Definition,"In the context of SE Lifecycle, what is the Scum Model?",1
Definition,"In the context of SE Lifecycle, what is the Extreme Programming Model?",1
Definition,"Difference among shell, terminal, REPL",1
Commonsense,What are the benefits of command-line interfaces over graphical ones?,2
Definition,"In the context of software engineering, what is a script?",1
Commonsense,Pros and cons of automating activities via scripts,2
Terminal,"In a *nix system shell, how would you inspect the content of a directory?",1
Terminal,"In a *nix system shell, how would you to print the current directory location?",1
Terminal,"In a *nix system shell, how would you to remove the file foo?",1
Terminal,"In a *nix system shell, how would you to remove directory bar?",1
Terminal,"In a *nix system shell, how would you to change disk?",1
Terminal,"In a *nix system shell, how would you to move into some directory?",1
Terminal,"In a *nix system shell, how would you to move to the parent directory?",1
Terminal,"In a *nix system shell, how would you to move a file to another directory?",1
Terminal,"In a *nix system shell, how would you to rename a file?",1
Terminal,"In a *nix system shell, how would you to copy a file into another directory?",1
Terminal,"In a *nix system shell, how would you to create a directory?",1
Terminal,"In a Windows system shell, how would you inspect the content of a directory?",1
Terminal,"In a Windows system shell, how would you to print the current directory location?",1
Terminal,"In a Windows system shell, how would you to remove the file foo?",1
Terminal,"In a Windows system shell, how would you to remove directory bar?",1
Terminal,"In a Windows system shell, how would you to change disk?",1
Terminal,"In a Windows system shell, how would you to move into some directory?",1
Terminal,"In a Windows system shell, how would you to move to the parent directory?",1
Terminal,"In a Windows system shell, how would you to move a file to another directory?",1
Terminal,"In a Windows system shell, how would you to rename a file?",1
Terminal,"In a Windows system shell, how would you to copy a file into another directory?",1
Terminal,"In a Windows system shell, how would you to create a directory?",1
Operative Systems,"In the context of operative systems' shells, what is a directory?",1
Operative Systems,"In the context of operative systems' shells, what is a path?",1
Commonsense,What would you do if you don't remember how to use a terminal's command?,1
Commonsense,What makes a shell's command interactive?,1
Operative Systems,What is the exit code of a command-line program?,1
Operative Systems,"In the context of operative systems, what is a process?",1
Operative Systems,"In the context of software, what is a stream?",1
Operative Systems,"In the context of operative systems, what are the default streams of a process?",1
Terminal,"Should you edit a textual file via the terminal, what would you do?",1
Python,What is Python?,1
Python,In which and how many ways can the python command be invoked?,2
Project,"In a Python project, what is the purpose of the `requirements.txt` file?",1
Project,"In a Python project, what is the purpose of the `.python-version` file?",1
Python,"In the context of the Python programming language, what is `pip`?",1
Python,"In the context of the Python programming language, what is Kivy?",1
Python,"In the context of the Python programming language, what is the compilation cache?",1
Definition,What is a software library?,1
Definition,What is a dependency of a software project?,1
Definition,What is a transitive dependency of a software project?,1
Definition,What is the dependency graph of a software project?,1
Definition,What is a cyclic dependency in a software project?,1
Definition,What is the runtime of a software?,1
Definition,"In the context of programming languages, what is a package manager?",1
Definition,What is the difference between compiled and interpreted programming languages?,1
Definition,What is the Von Neuman architecture?,1
Definition,What are the most common instruction set architectures?,1
Commonsense,Is Python a compiled or interpreted programming language?,1
Definition,What is the standard library of a programming language?,1
Definition,"In the context of programming languages, what is the difference between standard and third-party libraries?",1
Definition,"In the context of programming languages, what is a package repository?",1
Python,"In the context of the Python programming language, what is PyPI?",1
Commonsense,What are the main software platforms you are aware of?,1
Commonsense,What are the main package managers and repositories of the main software platforms?,2
Definition,"In a software application involving a UI, what is the difference among the model, the view, and the controller?",2
Definition,"In the context of programming, what is the purpose of code decomposition and modularity?",2
Definition,"In the context of programming, what is encapsulation?",1
Definition,"In the context of programming, what is information hiding?",1
Python,What mechanisms does Python provide to support code decompositon?,1
Definition,What is the interface of a software?,1
Definition,What is the API of a software?,1
Commonsense,Describe the overall functioning of UI,2
Definition,"In the context of software interfaces, what is the difference among public and private?",1
Python,"When, how, and why should you differentiate among public and private members in Pythons?",2
Commonsense,"What are the classic, inefficient ways of tracking changes in software projects? Why are they inadequate?",3
DVCS,What are the functionalities provided by Distributed Version Control Systems?,1
DVCS,"In the context of DVCS, what is a repository?",1
DVCS,"In the context of DVCS, what is the working tree?",1
DVCS,"In the context of DVCS, what is a commit?",1
